epoch,acc,loss,val_acc,val_loss
44,0.9832,0.04559358842074871,0.8878,0.4609760912706144
45,0.99255,0.022949716983013787,0.8994,0.46213450199328365
46,0.994,0.01845336101446301,0.9032,0.4530861355890054
47,0.98515,0.04087942629680037,0.9022,0.43604999972581865
48,0.98725,0.034504161585401746,0.8932,0.5029176977165043
49,0.9883,0.03334115461707115,0.9014,0.4402845557838678
50,0.991,0.027149695226643233,0.8802,0.4703082452774048
51,0.9913,0.0264080829473678,0.8954,0.5016506476402283
52,0.9938,0.01862234910838306,0.9042,0.5108324574351311
53,0.9867,0.038442304925993084,0.8914,0.5141556199073791
54,0.99485,0.015062765501113608,0.8982,0.5278421029090882
55,0.982,0.052449765073088926,0.9016,0.48851837654188274
56,0.9995,0.0041443732427665966,0.9066,0.5175575815483928
57,0.9999,0.0017478064780530986,0.9086,0.5674919805243611
58,0.9999,0.001431319641841401,0.9108,0.5875821504406631
59,0.9928,0.019224303238269205,0.8792,0.5225906002998352
60,0.9785,0.06226496925987303,0.8932,0.4056453488349915
61,0.9898,0.03014191166423261,0.901,0.4577852154195309
62,0.9888,0.03224615209605545,0.8984,0.44907314577102664
63,0.99075,0.027697156247589737,0.8702,0.639797630918026
64,0.9915,0.02407943233605474,0.9028,0.4713497720479965
65,0.99255,0.022098579862108454,0.8996,0.5459240095376968
66,0.99205,0.024175743003212846,0.9032,0.4895673170566559
67,0.99035,0.02740099021536298,0.8992,0.44854865543842315
68,0.99235,0.022710165448836053,0.899,0.5437411221027374
69,0.98535,0.04405374393668026,0.9052,0.5043092423319817
70,0.99825,0.0070493531090847685,0.9096,0.5052766137599946
71,0.99985,0.002034535973909078,0.9074,0.5781779518842697
72,0.99995,0.0011459438838144706,0.91,0.5920966013036668
73,0.99995,0.0009452392227889504,0.9094,0.6175794209554791
74,0.99995,0.0009063219669405953,0.9086,0.635044456152618
75,0.99995,0.00087716513479063,0.9082,0.6497294452682137
76,0.99995,0.0008620648797452304,0.9084,0.659739716726169
77,0.99995,0.0008498185269861096,0.9078,0.6742682078503073
78,0.99995,0.0008414905510587233,0.9076,0.6810339573513716
79,0.99995,0.000835566722351723,0.9082,0.6919770787473768
80,0.99995,0.0008300499477094036,0.9082,0.7039025031749159
81,0.99995,0.0008259164458039777,0.908,0.7083584671914578
82,0.99995,0.0008223076954176577,0.9074,0.718586508082971
83,0.99995,0.0008197755995176067,0.9076,0.7259316059002653
84,0.99995,0.0008175002420976398,0.9068,0.7358508536462672
85,0.99995,0.0008155598804978581,0.9084,0.7412805861093104
86,0.99995,0.0008140199560978999,0.908,0.7482736796258483
87,0.99995,0.0008126966203782104,0.9082,0.7568556905608624
88,0.99995,0.000811617779819062,0.9072,0.7658946842524224
89,0.99995,0.0008107443320758648,0.9084,0.7721555856390856
90,0.99995,0.0008099855505736742,0.9082,0.7797230127646588
91,0.99995,0.0008093812024320414,0.9078,0.7861095736274496
92,0.99995,0.0008087792140150669,0.9074,0.7939740259334213
93,0.99995,0.0008083691383101268,0.9074,0.8026708337840625
94,0.99995,0.0008080072118253157,0.9078,0.8092167564386502
95,0.99995,0.0008076908032098345,0.9078,0.8120432167480817
96,0.99995,0.0008074187553598222,0.907,0.8204711533307796
97,0.99995,0.0008072068967032465,0.908,0.8291009078395436
98,0.99995,0.000807010235816233,0.9078,0.8345473438160785
99,0.99995,0.0008068586624504406,0.9074,0.8385521715497656
